生成的PPT文件保存为：cef_fonts_cjk\unicode_flash_mob_1.pptx
PPT创建进度: 100%|█████| 13277/13277 [13:46<00:00, 16.06slide/s]
         1236702138 function calls (1235652611 primitive calls) in 826.538 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    84/83    0.005    0.000  828.173    9.978 threading.py:637(wait)
    84/83    0.117    0.001  828.155    9.978 threading.py:323(wait)
      2/1    1.321    0.660  826.493  826.493 E:\res\ppt.py:66(process_unicode_file)
    13277    0.071    0.000  731.114    0.055 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\slide.py:277(add_slide)
    13277    0.069    0.000  482.635    0.036 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\parts\presentation.py:19(add_slide)
    26554    0.040    0.000  475.192    0.018 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:32(relate_to)
    26554    0.055    0.000  474.155    0.018 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:517(get_or_add)
    26554   67.969    0.003  473.549    0.018 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:625(_get_matching)
444661034/443704660  174.215    0.000  285.065    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\util.py:191(__get__)
    26555   56.701    0.002  254.203    0.010 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:660(_rels_by_reltype)
    13277   13.225    0.001  231.918    0.017 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\presentation.py:51(add_sldId)
    13277   18.282    0.001  217.420    0.016 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\presentation.py:58(_next_id)
   331925  212.270    0.001  212.270    0.001 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\xmlchemy.py:787(xpath)
 88278833   33.452    0.000  123.772    0.000 <frozen _collections_abc>:911(__iter__)
 88292120   40.222    0.000   90.325    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:502(__getitem__)
444700958   89.298    0.000   89.298    0.000 {method 'get' of 'dict' objects}
   756813    2.182    0.000   35.066    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\xmlchemy.py:299(_add_child)
   995832   12.422    0.000   24.986    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\xmlchemy.py:742(first_child_found_in)
  6399546    6.974    0.000   21.977    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\ns.py:131(qn)
   796677    1.148    0.000   21.662    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\xmlchemy.py:341(_insert_child)
   836508    2.020    0.000   21.274    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\xmlchemy.py:753(insert_element_before)
   770071    0.869    0.000   19.781    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\xmlchemy.py:616(get_or_add_child)
    66385    0.214    0.000   17.208    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\text\text.py:308(color)
   159324    0.529    0.000   16.642    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\xmlchemy.py:460(get_or_change_to_child)
 88359224   16.355    0.000   16.355    0.000 {method 'append' of 'list' objects}
    13277    0.044    0.000   15.156    0.001 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\shapes\shapetree.py:573(clone_layout_placeholders)
    13277    0.217    0.000   13.640    0.001 E:\res\ppt.py:13(add_textbox_centered)
   265540    0.308    0.000   12.046    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\shapes\shared.py:88(ph)
    79662    0.192    0.000   11.640    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\dml\fill.py:143(solid)
    53108    0.076    0.000   10.836    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\text\text.py:611(space_before)
    53108    0.068    0.000   10.129    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\text\text.py:591(space_after)
  3160176    1.351    0.000    9.552    0.000 {built-in method builtins.getattr}
    53108    0.114    0.000    9.400    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\text.py:506(space_after)
        1    0.000    0.000    9.201    9.201 E:\res\ppt.py:60(save_ppt)
        1    0.000    0.000    9.201    9.201 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\presentation.py:34(save)
        1    0.000    0.000    9.201    9.201 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\parts\presentation.py:101(save)
        1    0.006    0.006    9.201    9.201 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:148(save)
   995780    5.275    0.000    8.900    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\xmlchemy.py:393(get_child_element)
        1    0.006    0.006    8.892    8.892 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\serialized.py:68(write)
        1    0.000    0.000    8.887    8.887 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\serialized.py:78(_write)
